Date,S&PCOMP,S&PCOMP(RI),AUSTALL,AllOrdsAccum,INDIA DS (Price),INDIA DS (Accum),SNGPORI,StraitsTimesAccum,ADBR090,ABND10Y,USBD10Y,AUD\USD,AUD\INR,AUD\SGD
2003-08-02,1031.06,2808.60,3126,16490.25,494.72,598.29,124.38,163.85,0.0477,0.0554,0.0441,0.6475,19.4639,1.1415
2003-09-02,1075.27,2933.42,3223.9,17105.66,591.92,716.97,127.59,169.16,0.0488,0.0564,0.0460,0.6433,19.0481,1.1281
2003-10-02,1073.05,2931.69,3203.4,17087.16,598.88,726.59,131.53,175.03,0.0490,0.0528,0.0401,0.6859,21.4618,1.1820
2003-11-02,1113.48,3046.55,3268.8,17458.39,657.87,799.47,140.84,187.48,0.0505,0.0580,0.0437,0.7078,22.8124,1.2326
2003-12-02,1121.59,3072.97,3196.7,17168.94,692.73,843.08,136.88,182.31,0.0542,0.0596,0.0438,0.7292,24.3844,1.2564
2004-01-02,1165.61,3198.32,3309.8,17807.04,839.35,1023.02,141.95,189.42,0.0552,0.0567,0.0438,0.7527,26.1563,1.2792
2004-02-02,1194.04,3280.58,3287.2,17687.93,767.32,936.32,146.06,195.03,0.0563,0.0579,0.0415,0.7615,26.3860,1.2916
2004-03-02,1209.47,3327.33,3398.1,18378.53,789.45,964.62,148.30,198.15,0.0554,0.0550,0.0405,0.7726,27.1569,1.3156
2004-04-02,1201.70,3310.82,3437.4,18696.61,803.23,983.00,147.74,197.51,0.0552,0.0550,0.0414,0.7648,25.7661,1.2781
2004-05-02,1175.68,3243.48,3388,18450.45,781.00,957.05,143.95,193.17,0.0559,0.0592,0.0450,0.7217,23.4480,1.2267
2004-06-02,1183.52,3269.91,3473.1,18947.36,666.14,817.61,140.68,190.54,0.0549,0.0583,0.0473,0.7087,22.7138,1.2098
2004-07-02,1183.83,3275.42,3531.5,19364.47,665.61,818.41,144.32,197.84,0.0549,0.0585,0.0446,0.7038,22.8383,1.2076
2004-08-02,1163.87,3224.75,3554.5,19513.19,709.99,874.46,146.76,201.55,0.0546,0.0573,0.0445,0.6986,22.9839,1.2045
2004-09-02,1176.26,3264.23,3594.7,19868.64,710.64,876.98,151.23,209.70,0.0543,0.0539,0.0419,0.7001,22.8373,1.1942
2004-10-02,1189.84,3306.58,3669,20385.97,772.72,955.16,154.56,214.52,0.0542,0.0545,0.0419,0.7265,24.2724,1.2245
2004-11-02,1188.81,3308.70,3805.6,21162.22,788.44,976.20,154.68,214.81,0.0543,0.0537,0.0407,0.7449,25.4383,1.2410
2004-12-02,1247.33,3476.71,3955.1,22098.50,876.75,1087.16,157.63,219.18,0.0539,0.0525,0.0440,0.7805,26.9194,1.2738
2005-01-02,1259.09,3514.65,4053.1,22690.10,938.96,1165.92,160.21,222.83,0.0543,0.0533,0.0422,0.7790,26.5172,1.2729
2005-02-02,1250.59,3496.22,4141.2,23185.03,910.06,1131.65,163.75,227.98,0.0547,0.0533,0.0414,0.7744,26.1902,1.2684
2005-03-02,1268.37,3550.76,4172.2,23516.20,933.85,1162.76,164.44,229.05,0.0575,0.0558,0.0438,0.7830,26.8178,1.2714
2005-04-02,1229.37,3446.84,4126.4,23379.32,918.41,1145.23,163.81,228.21,0.0584,0.0561,0.0446,0.7730,26.3284,1.2819
2005-05-02,1218.19,3420.63,3969.2,22500.00,854.91,1067.85,162.19,227.24,0.0571,0.0534,0.0420,0.7802,26.6984,1.2791
2005-06-02,1265.00,3557.91,4136.4,23542.48,912.51,1141.97,166.33,234.94,0.0567,0.0510,0.0389,0.7513,24.8680,1.2585
2005-07-02,1253.34,3530.35,4224.1,24113.32,963.23,1207.51,169.88,240.01,0.0565,0.0505,0.0404,0.7579,25.1092,1.2782
2005-08-02,1305.57,3683.14,4343.4,24795.15,1038.58,1304.19,182.56,258.44,0.0565,0.0527,0.0433,0.7637,25.5916,1.2659
2005-09-02,1277.95,3611.03,4435.9,25505.06,1064.19,1338.60,176.50,252.80,0.0558,0.0501,0.0403,0.7634,25.8029,1.2772
2005-10-02,1286.80,3641.39,4593.2,26562.98,1146.82,1444.59,176.90,253.52,0.0563,0.0541,0.0438,0.7615,25.7615,1.2865
2005-11-02,1274.95,3613.61,4408.8,25519.86,1057.76,1334.45,173.72,249.11,0.0564,0.0545,0.0461,0.7435,25.1080,1.2599
2005-12-02,1327.87,3769.41,4573.8,26608.85,1180.40,1491.33,179.25,257.78,0.0562,0.0536,0.0452,0.7427,25.6677,1.2567
2006-01-02,1309.69,3723.26,4708.8,27474.95,1239.03,1567.44,180.87,260.77,0.0564,0.0520,0.0440,0.7337,24.4249,1.2205
2006-02-02,1333.45,3796.90,4855.4,28331.45,1271.36,1610.59,189.80,273.78,0.0563,0.0540,0.0456,0.7520,25.1995,1.2273
2006-03-02,1351.99,3855.15,4864.4,28627.92,1351.94,1714.74,193.02,278.67,0.0562,0.0527,0.0464,0.7454,24.8218,1.2066
2006-04-02,1357.38,3876.57,5133.1,30327.32,1479.87,1879.32,199.70,288.44,0.0560,0.0541,0.0488,0.7150,23.0373,1.1564
2006-05-02,1371.74,3923.38,5222.4,30868.80,1552.77,1974.09,206.10,299.52,0.0580,0.0574,0.0511,0.7561,25.8737,1.1951
2006-06-02,1345.13,3853.74,5040.4,29907.83,1301.28,1656.52,187.50,274.87,0.0590,0.0572,0.0499,0.7464,25.7956,1.1792
2006-07-02,1337.63,3838.36,5049.9,30083.63,1300.07,1657.27,190.56,279.61,0.0597,0.0575,0.0515,0.7423,25.5722,1.1752
2006-08-02,1333.88,3833.90,4906.6,29236.59,1313.58,1676.74,191.11,281.04,0.0619,0.0585,0.0496,0.7672,27.6115,1.2114
2006-09-02,1368.41,3939.47,5063.9,30386.96,1423.99,1819.88,193.64,289.90,0.0619,0.0562,0.0472,0.7650,27.4023,1.2027
2006-10-02,1390.32,4008.60,5138.7,31007.43,1504.06,1924.28,202.15,302.92,0.0620,0.0551,0.0462,0.7480,25.7836,1.1870
2006-11-02,1427.57,4122.61,5377.1,32481.52,1595.41,2043.44,213.63,320.39,0.0638,0.0561,0.0460,0.7721,26.9926,1.2059
2006-12-02,1457.14,4214.06,5415.2,32854.04,1688.42,2164.65,223.25,335.49,0.0638,0.0554,0.0443,0.7896,28.0150,1.2191
2007-01-02,1479.30,4284.55,5645.8,34343.39,1687.71,2165.95,236.05,355.56,0.0642,0.0590,0.0469,0.7939,28.1041,1.2155
2007-02-02,1510.93,4383.05,5814.4,35370.72,1755.55,2255.33,255.18,384.73,0.0639,0.0595,0.0483,0.7730,26.5294,1.1874
2007-03-02,1447.68,4205.38,5775.2,35366.20,1566.37,2014.17,247.34,373.07,0.0635,0.0567,0.0452,0.7850,27.3965,1.1991
2007-04-02,1486.37,4324.28,5908.2,36333.49,1533.25,1973.72,262.28,396.14,0.0655,0.0590,0.0465,0.8139,28.7632,1.2347
2007-05-02,1559.80,4544.86,6224.5,38294.91,1722.55,2219.80,277.28,421.40,0.0638,0.0583,0.0465,0.8247,28.3367,1.2574
2007-06-02,1601.61,4673.71,6363.4,39269.30,1823.31,2352.02,286.90,438.84,0.0636,0.0604,0.0495,0.8295,28.0371,1.2684
2007-07-02,1577.87,4611.06,6298.6,38995.70,1847.18,2385.14,289.45,442.75,0.0643,0.0620,0.0499,0.8532,29.8876,1.3035
2007-08-02,1528.81,4474.76,6050.3,37464.22,1868.94,2415.59,277.72,425.86,0.0659,0.0595,0.0475,0.8545,29.7451,1.3005
2007-09-02,1530.19,4485.96,6272.5,39138.37,1930.06,2497.00,271.98,420.86,0.0690,0.0594,0.0454,0.8225,27.8170,1.2530
2007-10-02,1604.91,4712.07,6667.6,41755.91,2222.55,2877.79,305.53,473.30,0.0687,0.0616,0.0453,0.8860,31.4796,1.3100
2007-11-02,1567.53,4609.71,6726.7,42153.15,2697.94,3495.98,300.31,465.78,0.0704,0.0620,0.0429,0.9168,33.3440,1.3308
2007-12-02,1527.65,4499.43,6597.2,41502.17,2701.32,3502.64,281.94,438.13,0.0724,0.0598,0.0389,0.8797,30.8423,1.2771
