Date,BHP,CBA,QBE,WSF,LEI,WOR,NAB,NCM,TLS,QAN,MQG,RIO,WPL,WOW,WES,ABND10Y,ADBR090,S&PCOMP,AUSTALL,USAUSTR
2007-07-06,37.54,55.28,30.87,15.6,41.362,34.1,40.14,21.184,4.62,5.59,88.2,80.487,45.869,28.222,38.049,0.0623,0.06442,1530.44,6382.957,0.8581
2007-07-13,39.16,55.06,30.8,15.6,40.481,36.25,39.76,22.541,4.76,5.77,89.44,79.895,45.654,28.043,38.235,0.0623,0.06453,1552.5,6425.438,0.8711
2007-07-20,38.4,56.9,30.84,15.6,40.181,35.8,40.82,22.56,4.76,5.79,90.45,78.791,45.478,27.528,37.725,0.0615,0.06443,1534.1,6456.665,0.8802
2007-07-27,35.97,54.57,29.86,15.6,35.727,34.5,38.2,22.706,4.57,5.56,81.15,71.456,41.975,25.984,35.704,0.0598,0.0656,1458.95,6127.331,0.8516
2007-08-03,36.69,53.31,29.86,15.6,38.729,33.83,38,22.936,4.61,5.57,75,70.052,41.702,26.231,35.408,0.0598,0.06597,1433.06,6055.949,0.8545
2007-08-10,34.66,53.35,28.91,15.6,38.487,33.9,38.22,23.046,4.34,5.39,72.1,66.858,40.696,26.102,36.381,0.0595,0.06725,1453.64,5965.214,0.8445
2007-08-17,32.44,52.5,27.5,15.6,37.547,28.9,37.98,22.257,4.24,5.3,64.74,64.011,37.817,26.162,34.481,0.0581,0.06812,1445.94,5670.29,0.7971
2007-08-24,36.6,54.81,32.7,15.6,40.859,34,40,23.009,4.33,5.56,74.6,70.289,41.096,27.419,35.593,0.0594,0.06788,1479.37,6087.242,0.8272
2007-08-31,38.42,55.15,34.85,15.6,42.447,38.6,39.94,22.477,4.37,5.58,73.3,73.759,44.21,29.628,35.741,0.0589,0.0689,1473.99,6248.347,0.8189
2007-09-07,39.75,54.67,33.83,15.6,46.92,38.1,39,22.927,4.27,5.65,71.39,79.659,45.508,29.657,35.732,0.0597,0.06907,1453.55,6296.537,0.8264
2007-09-14,39.4,55.7,34.15,15.6,47.636,38.45,39,22.752,4.44,5.64,76.98,78.389,45.654,29.43,36.288,0.0593,0.0699,1484.25,6315.705,0.8421
2007-09-21,41,55.64,34.7,15.6,50.047,40.05,37.49,28.4,4.36,5.55,77,81.402,48.035,29.251,37.076,0.0616,0.06868,1525.75,6371.2,0.8665
2007-09-28,44.55,56.39,33.8,15.6,49.863,42.41,39.71,27.843,4.36,5.58,84.4,85.353,48.992,29.42,38.93,0.062,0.06885,1526.75,6580.936,0.8878
2007-10-05,44.1,57.06,33.54,15.6,53.881,42.99,40.76,28.042,4.35,5.65,85.95,84.904,50.534,30.311,39.699,0.0618,0.06905,1557.59,6617.277,0.8977
2007-10-12,46.2,59.79,33.68,15.6,54.782,44.45,41.76,27.933,4.56,5.96,86.4,88.098,52.652,31.004,39.866,0.0626,0.06858,1561.8,6760.144,0.9048
2007-10-19,47.1,59.14,32.4,15.6,54.946,46.44,40.9,29.762,4.63,5.83,83.02,86.442,53.618,32.301,40.274,0.0615,0.0682,1500.63,6723.349,0.8909
2007-10-26,45.76,60.13,32.06,15.6,58.732,47.91,42.7,31.075,4.73,6.01,82.29,84.391,52.788,32.588,40.45,0.0607,0.06973,1535.28,6716.421,0.9185
2007-11-02,45,61.2,32.06,15.6,60.271,46.59,43.1,32.517,4.79,5.95,82.3,87.514,50.553,32.202,40.098,0.0622,0.07018,1509.65,6726.726,0.9232
2007-11-09,42.47,59.4,32.1,15.6,57.812,48.88,43.4,35.649,4.68,5.8,80.9,103.241,54.008,31.717,35.361,0.0604,0.07107,1453.7,6607.445,0.9107
2007-11-16,41.15,59.97,30.9,15.6,56.505,46.2,42.16,32.069,4.66,5.86,80.5,103.485,45.742,31.885,37.076,0.0604,0.0717,1458.74,6526.145,0.8936
2007-11-23,40.27,57.2,31.75,15.6,53.407,42.8,39.95,32.825,4.63,5.81,76.49,101.269,46.552,31.192,38.281,0.0586,0.07165,1440.7,6392.435,0.8778
2007-11-30,42.98,59.65,32.42,15.6,58.819,50.08,38.3,33.571,4.67,5.85,80.3,114.511,47.323,33.519,40.255,0.0601,0.07247,1481.14,6593.6,0.8841
2007-12-07,43.5,60.69,32.9,15.6,61.24,53.82,39.22,32.736,4.71,5.78,80.25,114.74,47.167,34.094,40.144,0.0605,0.07253,1504.66,6714.04,0.8765
2007-12-14,42.05,60.74,32.35,15.6,61.385,50.91,38.45,33.064,4.71,5.82,80.08,108.241,46.464,34.321,38.504,0.0627,0.07512,1467.95,6556.079,0.8612
2007-12-21,39.65,57.77,32.33,15.6,55.818,49.5,37.81,30.17,4.71,5.41,76.09,101.387,45.976,33.47,37.54,0.0625,0.07227,1484.46,6309.376,0.8676
2007-12-28,40.51,58.88,33,15.6,57.725,52,37.79,32.01,4.69,5.46,76.53,105.686,49.216,33.569,37.771,0.0639,0.07268,1478.49,6423.715,0.8761
2008-01-04,40.85,58.04,32.15,15.6,58.461,51.06,37.33,36.803,4.69,5.44,73.2,104.164,50.914,33.321,37.79,0.061,0.0713,1411.63,6385.367,0.8719
2008-01-11,38.3,55.89,31.6,15.6,51.364,44.5,35.2,37.777,4.6,5.11,69.88,99.061,49.626,33.034,35.222,0.0612,0.07178,1401.02,6054.418,0.8906
2008-01-18,34.8,53.2,29.44,15.6,47.636,41,36.26,34.337,4.41,4.69,68.22,97.799,46.415,30.45,33.007,0.0605,0.07098,1325.19,5799.408,0.8791
2008-01-25,36.8,53.71,30.21,15.6,47.559,39.78,36.49,34.456,4.57,4.83,69.02,93.461,46.054,30.865,35.222,0.062,0.0728,1330.61,5886.258,0.8799
2008-02-01,38.55,51.12,29.35,15.6,49.95,40.1,35.4,35.162,4.41,4.79,69,100.409,47.333,29.113,34.666,0.0614,0.0738,1395.42,5882.306,0.9041
2008-02-08,36.14,50.14,28.1,15.6,52.042,37.81,33.43,35.5,4.57,4.82,62.5,98.587,43.771,28.707,36.177,0.0621,0.0746,1331.29,5723.892,0.8951
2008-02-15,39.29,46.38,27.46,15.6,45.293,35.88,30.64,34.943,4.72,4.63,55.5,108.131,48.65,26.855,35.593,0.0636,0.07798,1349.99,5679.766,0.9089
2008-02-22,39.73,42.59,27.7,15.6,43.667,37.05,28.59,35.719,4.74,4.49,54.9,106.948,53.676,27.538,35.139,0.0639,0.0776,1353.11,5644.481,0.9243
